,Date,Rainfall (In)
307,2010-08-19,0.0
341,2010-08-20,0.0
752,2010-08-21,0.0
164,2010-08-23,0.0
64,2010-08-24,0.0
446,2010-08-25,0.0
317,2010-08-26,0.0
569,2010-08-27,0.0
237,2010-08-30,0.0
477,2010-08-31,0.0
668,2010-09-01,0.0
488,2010-09-02,0.0
475,2010-09-03,0.0
400,2011-05-23,0.0
205,2011-05-26,0.0
459,2011-05-27,0.0
734,2011-05-28,0.0
762,2011-05-29,0.0
394,2011-05-31,0.0
324,2011-06-01,0.0
480,2011-06-02,0.0
193,2011-06-03,0.0
735,2011-06-04,0.0
436,2011-06-06,0.0
583,2011-06-07,0.0
628,2011-06-08,0.0
479,2011-06-09,0.0
650,2011-06-10,0.0
691,2011-06-11,0.0
85,2011-06-13,0.0
30,2011-06-14,0.0
100,2011-06-15,0.0
333,2011-06-16,0.0
315,2011-06-17,0.0
773,2011-06-18,0.0
693,2011-06-20,0.0
550,2011-06-21,0.1
356,2011-06-22,0.0
610,2011-06-23,0.0
221,2011-06-24,0.0
750,2011-06-25,0.0
419,2011-06-27,0.0
91,2011-06-28,0.0
506,2011-06-29,0.0
114,2011-06-30,0.0
641,2011-07-01,0.0
402,2011-07-02,0.0
283,2011-07-05,0.0
129,2011-07-06,0.0
390,2011-07-07,0.0
348,2011-07-08,0.0
35,2011-07-11,0.0
592,2011-07-12,0.0
51,2011-07-13,0.0
511,2011-07-14,0.0
584,2011-07-15,0.0
607,2011-07-18,0.1
196,2011-07-19,0.0
5,2011-07-20,0.0
379,2011-07-21,0.0
311,2011-07-22,0.0
334,2011-07-23,0.0
157,2011-07-24,0.0
626,2011-07-25,0.0
67,2011-07-26,0.0
531,2011-07-27,0.0
48,2011-07-28,0.0
270,2011-07-29,0.0
708,2011-07-30,0.0
425,2011-08-01,0.0
259,2011-08-02,0.1
605,2011-08-03,0.0
121,2011-08-04,0.0
559,2011-08-05,0.0
713,2011-08-06,0.0
75,2011-08-08,0.0
226,2011-08-09,0.0
199,2011-08-10,0.0
415,2011-08-11,0.0
44,2011-08-12,0.0
522,2011-08-15,0.0
274,2011-08-16,0.0
447,2011-08-17,0.1
180,2011-08-18,0.0
597,2011-08-19,0.0
546,2011-08-22,0.0
397,2011-08-23,0.0
391,2011-08-24,0.0
277,2011-08-25,0.0
198,2011-08-26,0.0
160,2011-08-29,0.0
304,2011-08-30,0.0
195,2011-08-31,0.0
219,2011-09-01,0.0
158,2011-09-02,0.0
542,2012-05-22,0.0
512,2012-05-23,0.0
107,2012-05-24,0.0
290,2012-05-25,0.0
156,2012-05-26,0.0
139,2012-05-27,0.0
184,2012-05-29,0.0
426,2012-05-30,0.0
240,2012-05-31,0.0
571,2012-06-01,0.0
554,2012-06-02,0.0
26,2012-06-04,0.0
590,2012-06-05,0.0
485,2012-06-06,0.0
564,2012-06-07,0.0
515,2012-06-08,0.0
325,2012-06-11,0.0
642,2012-06-12,0.0
197,2012-06-13,0.0
353,2012-06-14,0.0
421,2012-06-15,0.0
766,2012-06-16,0.1
566,2012-06-18,0.0
47,2012-06-19,0.0
455,2012-06-20,0.0
572,2012-06-21,0.0
266,2012-06-22,0.0
113,2012-06-23,0.0
406,2012-06-25,0.0
298,2012-06-26,0.0
674,2012-06-27,0.0
89,2012-06-28,0.0
60,2012-06-29,0.0
556,2012-06-30,0.0
660,2012-07-01,0.0
34,2012-07-02,0.0
667,2012-07-03,0.0
265,2012-07-05,0.0
699,2012-07-06,0.0
445,2012-07-07,0.0
603,2012-07-08,0.0
579,2012-07-09,0.0
79,2012-07-10,0.0
186,2012-07-11,0.0
212,2012-07-12,0.0
526,2012-07-13,0.0
772,2012-07-14,0.0
539,2012-07-16,0.0
310,2012-07-17,0.0
328,2012-07-18,0.0
438,2012-07-19,0.0
256,2012-07-20,0.0
203,2012-07-21,0.0
639,2012-07-23,0.0
677,2012-07-24,0.1
442,2012-07-25,0.0
244,2012-07-26,0.0
59,2012-07-27,0.0
300,2012-07-30,0.0
611,2012-07-31,0.0
529,2012-08-01,0.0
482,2012-08-02,0.0
94,2012-08-03,0.0
223,2012-08-06,0.0
228,2012-08-07,0.0
52,2012-08-08,0.0
520,2012-08-09,0.0
507,2012-08-10,0.0
587,2012-08-11,0.0
68,2012-08-12,0.0
664,2012-08-13,0.0
357,2012-08-14,0.0
617,2012-08-15,0.0
651,2012-08-16,0.0
105,2012-08-17,0.0
458,2012-08-20,0.0
257,2012-08-21,0.0
635,2012-08-22,0.0
90,2012-08-23,0.0
342,2012-08-24,0.0
430,2012-08-27,0.0
621,2012-08-28,0.0
323,2012-08-29,0.0
375,2012-08-30,0.0
268,2012-08-31,0.1
709,2012-09-01,0.0
731,2012-09-02,0.0
758,2012-09-04,0.0
736,2012-09-06,0.0
720,2012-09-07,0.0
659,2012-09-10,0.0
744,2012-09-11,0.0
354,2012-09-12,0.0
670,2012-09-13,0.0
563,2013-05-21,0.0
370,2013-05-22,0.0
456,2013-05-23,0.0
126,2013-05-24,0.0
143,2013-05-25,0.0
2,2013-05-26,0.0
702,2013-05-27,0.0
536,2013-05-28,0.0
12,2013-05-29,0.0
150,2013-05-30,0.0
154,2013-05-31,0.0
769,2013-06-01,0.0
630,2013-06-02,0.0
206,2013-06-03,0.0
613,2013-06-04,0.0
251,2013-06-05,0.0
528,2013-06-06,0.0
303,2013-06-07,0.0
553,2013-06-10,0.0
441,2013-06-11,0.0
535,2013-06-12,0.0
167,2013-06-13,0.0
418,2013-06-14,0.0
368,2013-06-17,0.0
262,2013-06-18,0.0
467,2013-06-19,0.0
41,2013-06-20,0.0
707,2013-06-21,0.0
235,2013-06-24,0.0
78,2013-06-25,0.0
147,2013-06-26,0.0
698,2013-06-27,0.0
499,2013-06-28,0.0
675,2013-06-29,0.0
697,2013-06-30,0.0
634,2013-07-01,0.0
316,2013-07-02,0.0
489,2013-07-03,0.0
470,2013-07-05,0.0
602,2013-07-08,0.0
575,2013-07-09,0.0
612,2013-07-10,0.0
543,2013-07-11,0.0
306,2013-07-12,0.0
756,2013-07-13,0.0
719,2013-07-14,0.0
189,2013-07-15,0.0
495,2013-07-16,0.0
227,2013-07-17,0.0
155,2013-07-18,0.0
505,2013-07-19,0.1
598,2013-07-22,0.0
481,2013-07-23,0.0
263,2013-07-24,0.0
289,2013-07-25,0.0
596,2013-07-26,0.0
106,2013-07-27,0.0
433,2013-07-28,0.0
637,2013-07-29,0.0
500,2013-07-30,0.0
396,2013-07-31,0.0
82,2013-08-01,0.0
217,2013-08-02,0.0
385,2013-08-03,0.0
727,2013-08-04,0.0
578,2013-08-05,0.0
46,2013-08-06,0.0
170,2013-08-07,0.0
733,2013-08-08,0.0
215,2013-08-09,0.0
588,2013-08-12,0.1
410,2013-08-13,0.0
678,2013-08-14,0.0
631,2013-08-15,0.0
66,2013-08-16,0.0
751,2013-08-17,0.0
615,2013-08-18,0.0
414,2013-08-19,0.0
185,2013-08-20,0.0
687,2013-08-21,0.0
149,2013-08-22,0.0
318,2013-08-23,0.0
335,2013-08-24,0.0
141,2013-08-26,0.0
132,2013-08-27,0.0
276,2013-08-28,0.0
218,2013-08-29,0.0
404,2013-08-30,0.0
417,2013-08-31,0.0
721,2013-09-01,0.0
599,2013-09-09,0.0
409,2013-09-10,0.0
176,2013-09-11,0.0
665,2013-09-12,0.0
606,2014-05-20,0.1
249,2014-05-21,0.0
547,2014-05-22,0.0
273,2014-05-23,0.0
275,2014-05-24,0.0
726,2014-05-25,0.0
737,2014-05-26,0.0
39,2014-05-27,0.0
548,2014-05-28,0.0
58,2014-05-29,0.0
209,2014-05-30,0.0
743,2014-05-31,0.0
753,2014-06-01,0.1
53,2014-06-02,0.0
343,2014-06-03,0.0
280,2014-06-04,0.0
577,2014-06-05,0.0
40,2014-06-06,0.0
581,2014-06-07,0.0
14,2014-06-09,0.0
131,2014-06-10,0.0
190,2014-06-11,0.0
23,2014-06-12,0.0
624,2014-06-13,0.0
340,2014-06-16,0.0
231,2014-06-17,0.0
230,2014-06-18,0.0
293,2014-06-19,0.0
127,2014-06-20,0.0
723,2014-06-21,0.0
192,2014-06-23,0.0
429,2014-06-24,0.0
373,2014-06-25,0.0
42,2014-06-26,0.0
220,2014-06-27,0.0
765,2014-06-28,0.0
246,2014-06-30,0.0
136,2014-07-01,0.0
486,2014-07-02,0.0
364,2014-07-03,0.0
724,2014-07-04,0.0
71,2014-07-07,0.0
411,2014-07-08,0.0
663,2014-07-09,0.0
305,2014-07-10,0.0
361,2014-07-11,0.0
714,2014-07-12,0.1
706,2014-07-13,0.0
476,2014-07-14,0.0
8,2014-07-15,0.0
285,2014-07-16,0.0
288,2014-07-17,0.0
376,2014-07-18,0.0
503,2014-07-21,0.0
586,2014-07-22,0.0
649,2014-07-23,0.0
696,2014-07-24,0.0
395,2014-07-25,0.0
16,2014-07-26,0.0
494,2014-07-28,0.0
272,2014-07-29,0.0
258,2014-07-30,0.0
490,2014-07-31,0.0
671,2014-08-01,0.0
570,2014-08-04,0.0
161,2014-08-05,0.0
146,2014-08-06,0.0
151,2014-08-07,0.0
248,2014-08-08,0.0
533,2014-08-11,0.0
137,2014-08-12,0.0
120,2014-08-13,0.0
363,2014-08-14,0.0
484,2014-08-15,0.0
296,2014-08-18,0.0
7,2014-08-19,0.1
525,2014-08-20,0.0
704,2014-08-21,0.0
518,2014-08-22,0.0
153,2014-08-25,0.0
460,2014-08-26,0.0
589,2014-08-27,0.0
140,2014-08-28,0.0
658,2014-08-29,0.1
715,2014-08-30,0.0
492,2014-09-02,0.0
644,2014-09-03,0.0
424,2014-09-04,0.0
101,2014-09-05,0.0
532,2014-09-09,0.0
557,2014-09-11,0.0
582,2014-09-15,0.0
676,2014-09-16,0.0
616,2015-05-19,0.0
70,2015-05-20,0.0
593,2015-05-21,0.0
383,2015-05-22,0.0
672,2015-05-23,0.0
609,2015-05-26,0.0
330,2015-05-27,0.0
657,2015-05-28,0.0
242,2015-05-29,0.0
764,2015-05-30,0.0
694,2015-05-31,0.0
92,2015-06-01,0.0
13,2015-06-02,0.0
336,2015-06-03,0.0
138,2015-06-04,0.0
299,2015-06-05,0.0
729,2015-06-06,0.0
49,2015-06-08,0.0
194,2015-06-09,0.0
439,2015-06-10,0.0
166,2015-06-11,0.0
17,2015-06-12,0.0
292,2015-06-13,0.0
600,2015-06-15,0.1
468,2015-06-16,0.0
181,2015-06-17,0.0
326,2015-06-18,0.0
591,2015-06-19,0.0
472,2015-06-20,0.0
43,2015-06-22,0.0
202,2015-06-23,0.0
172,2015-06-24,0.0
15,2015-06-25,0.0
297,2015-06-26,0.0
279,2015-06-27,0.0
625,2015-06-28,0.0
517,2015-06-29,0.0
225,2015-06-30,0.0
294,2015-07-01,0.0
4,2015-07-02,0.0
576,2015-07-06,0.0
3,2015-07-07,0.0
57,2015-07-08,0.0
568,2015-07-09,0.0
84,2015-07-10,0.0
93,2015-07-13,0.0
21,2015-07-14,0.0
487,2015-07-15,0.0
159,2015-07-16,0.0
111,2015-07-17,0.0
748,2015-07-18,0.0
749,2015-07-19,0.0
412,2015-07-20,0.0
309,2015-07-21,0.0
96,2015-07-22,0.0
250,2015-07-23,0.0
384,2015-07-24,0.0
431,2015-07-27,0.0
562,2015-07-28,0.0
474,2015-07-29,0.0
109,2015-07-30,0.0
208,2015-07-31,0.0
178,2015-08-03,0.0
345,2015-08-04,0.0
86,2015-08-05,0.0
604,2015-08-06,0.0
493,2015-08-07,0.0
386,2015-08-10,0.0
362,2015-08-11,0.0
432,2015-08-12,0.0
549,2015-08-13,0.0
413,2015-08-14,0.0
656,2015-08-15,0.0
681,2015-08-16,0.0
622,2015-08-17,0.0
152,2015-08-18,0.0
440,2015-08-19,0.0
497,2015-08-20,0.0
371,2015-08-21,0.0
689,2015-08-22,0.0
171,2015-08-24,0.0
191,2015-08-25,0.0
471,2015-08-26,0.0
314,2015-08-27,0.0
50,2015-08-28,0.0
521,2015-08-29,0.1
757,2015-08-30,0.0
313,2015-08-31,0.0
264,2015-09-01,0.0
204,2015-09-02,0.0
214,2015-09-03,0.0
636,2015-09-04,0.0
673,2015-09-05,0.0
716,2015-09-06,0.0
643,2015-09-08,0.0
405,2015-09-09,0.0
730,2015-09-14,0.0
648,2015-09-16,0.0
278,2015-09-18,0.0
504,2016-05-26,0.0
286,2016-05-27,0.0
725,2016-05-28,0.0
435,2016-05-31,0.0
1,2016-06-01,0.0
102,2016-06-02,0.0
454,2016-06-03,0.0
705,2016-06-04,0.0
32,2016-06-06,0.0
540,2016-06-07,0.0
319,2016-06-08,0.0
457,2016-06-09,0.0
18,2016-06-10,0.0
632,2016-06-11,0.0
449,2016-06-13,0.0
700,2016-06-14,0.0
169,2016-06-15,0.0
329,2016-06-16,0.0
253,2016-06-17,0.0
322,2016-06-18,0.0
69,2016-06-20,0.0
367,2016-06-21,0.0
537,2016-06-22,0.0
27,2016-06-23,0.0
359,2016-06-24,0.0
774,2016-06-25,0.0
387,2016-06-27,0.0
134,2016-06-28,0.0
552,2016-06-29,0.0
534,2016-06-30,0.0
573,2016-07-01,0.0
174,2016-07-05,0.0
502,2016-07-06,0.0
207,2016-07-07,0.0
308,2016-07-08,0.0
45,2016-07-09,0.0
247,2016-07-10,0.0
331,2016-07-11,0.0
245,2016-07-12,0.0
377,2016-07-13,0.0
398,2016-07-14,0.0
491,2016-07-15,0.0
623,2016-07-16,0.0
369,2016-07-18,0.0
28,2016-07-19,0.0
508,2016-07-20,0.0
448,2016-07-21,0.0
62,2016-07-22,0.0
742,2016-07-24,0.1
382,2016-07-25,0.0
108,2016-07-26,0.0
509,2016-07-27,0.0
498,2016-07-28,0.0
629,2016-07-29,0.0
711,2016-07-30,0.0
747,2016-07-31,0.0
255,2016-08-01,0.0
116,2016-08-02,0.0
514,2016-08-03,0.0
0,2016-08-04,0.0
241,2016-08-05,0.0
666,2016-08-06,0.0
252,2016-08-08,0.0
135,2016-08-09,0.0
337,2016-08-10,0.0
118,2016-08-11,0.0
627,2016-08-12,0.0
728,2016-08-13,0.0
61,2016-08-15,0.0
65,2016-08-16,0.0
76,2016-08-17,0.0
183,2016-08-18,0.0
188,2016-08-19,0.0
746,2016-08-20,0.0
6,2016-08-22,0.0
661,2016-08-23,0.0
77,2016-08-24,0.0
87,2016-08-26,0.0
692,2016-08-28,0.0
173,2016-08-29,0.0
284,2016-08-30,0.0
320,2016-08-31,0.0
210,2016-09-01,0.0
541,2016-09-02,0.0
759,2016-09-06,0.0
473,2016-09-07,0.0
732,2016-09-08,0.0
718,2016-09-09,0.0
767,2016-09-12,0.0
763,2016-09-15,0.0
739,2016-09-16,0.0
760,2016-09-17,0.0
745,2016-09-18,0.0
680,2016-09-20,0.0
690,2016-09-21,0.0
770,2016-09-22,0.0
392,2016-09-24,0.0
755,2016-09-25,0.0
312,2016-09-28,0.0
754,2016-09-29,0.0
710,2016-09-30,0.0
771,2016-10-01,0.0
